name,formula,smiles,MW,Energy
C01172,C6H13O9P,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,260.135,112.24904315141312
C00006,C21H29N7O17P3+,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,744.4170000000006,379.9694560903745
C01236,C6H11O9P,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,258.119,100.64770718690619
C00005,C21H30N7O17P3,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,745.4250000000006,409.65484454101716
C00080,H3O+,[OH3+],19.023,-8.5656342482476e-10
C00003,C21H28N7O14P2+,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,664.4380000000004,159.7147817696541
C00004,C21H29N7O14P2,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,665.4460000000005,192.88928627995557
C00001,H2O,O,18.015,-6.237742225084806e-10
C00345,C6H13O10P,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,276.13399999999996,120.55492948794313
C00199,C5H11O8P,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,230.10899999999995,127.57922350355425
C00011,CO2,O=C=O,44.009,-1.5785680435084483e-11
C00231,C5H11O8P,O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O,230.10899999999995,132.46939307510118
C00117,C5H11O8P,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,230.109,132.71106799093099
C05382,C7H15O10P,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,290.161,87.8930276333673
C00118,C3H7O6P,O=C[C@H](O)COP(=O)(O)O,170.05700000000002,159.91871709651517
C00279,C4H9O7P,O=C[C@H](O)[C@H](O)COP(=O)(O)O,200.083,147.58625362513803
C00085,C6H13O9P,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,260.135,90.8919428609264
C00668,C6H13O9P,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,260.135,107.67035205746676
